activity,time,lat,long,activity_id
Walking, 1572255740.924, 433333968073106.56, -84092511999608.69, -489
Walking, 1572255765.0070002, 433334863716356.06, -84092511999608.69, -489
Walking, 1571418610.407, 430232373747987.0, -84013683709115.67, -5
Walking, 1571418615.961, 430234355294105.75, -84009201226825.34, -5
Walking, 1571418629.004, 430236168594105.8, -84009201226825.34, -5
Walking, 1571418641.014, 430238130794105.8, -84009201226825.34, -5
Walking, 1571418657.0010002, 430237803511293.2, -84007281266538.97, -5
Active, 1575975402.7670002, 430235098654337.5, -84013758357591.77, 10
Active, 1575975422.9, 430251163654337.56, -84013758357591.77, 10
Active, 1575975464.014, 430267404654337.56, -84013758357591.77, 10
Walking, 1576005752.7229998, 430266623770633.8, -84013328298610.31, 11
Walking, 1576005772.7910001, 430273372770633.8, -84013328298610.31, 11
Walking, 1576005792.784, 430276857146752.94, -84022132292478.16, 11
Walking, 1576006112.022, 430269468406672.6, -84007575813745.3, 12
Walking, 1576006132.022, 430277161206672.6, -84007575813745.3, 12
Walking, 1576006149.063, 430277198113924.56, -84009906409354.67, 12
Walking, 1576006149.262, 430272168657346.3, -84001491768382.61, 12
Walking, 1576006160.063, 430276711557346.3, -84001491768382.61, 12
Walking, 1576006169.2, 430282194438058.4, -84001053617392.1, 12
Walking, 1576006181.04, 430289377638058.44, -84001053617392.1, 12
Walking, 1576006200.1079998, 430286504804433.94, -84001119891265.05, 12
Walking, 1576006210.0379999, 430285795501277.5, -84003005313363.81, 12
Walking, 1576006210.51, 430286480352646.7, -83989209445051.94, 12
Walking, 1576006220.044, 430287699652646.6, -83989209445051.94, 12
Walking, 1576006230.0979998, 430287638934333.44, -83987608004322.28, 12
Walking, 1576006230.296, 430299797834333.4, -83987608004322.28, 12
Walking, 1576006240.029, 430288826797755.2, -83970008610142.45, 12
Walking, 1576006250.034, 430288076140800.56, -83970136761218.52, 12
Walking, 1576006260.0879998, 430288636489318.75, -83970528859003.95, 12
Walking, 1576006270.019, 430289643289318.75, -83970528859003.95, 12
Walking, 1576006271.409, 430307650589318.75, -83970528859003.95, 12
Walking, 1576006282.0110002, 430310789169503.5, -83977941501755.69, 12
Walking, 1576006293.0579998, 430311406169503.44, -83977941501755.69, 12
Walking, 1576006310.015, 430315338169503.44, -83977941501755.69, 12
Walking, 1576006331.0679998, 430315816496774.2, -83977139794231.14, 12
Walking, 1576055511.36, 430337295047210.4, -83977575045700.55, 13
Walking, 1576055515.016, 430337832742302.94, -84013038215871.5, 13
Walking, 1576055531.5579998, 430348593580871.9, -84017483019265.6, 13
Walking, 1576055536.158, 430360276508815.44, -84024468180262.58, 13
Walking, 1576055554.0379999, 430360371508815.5, -84024468180262.58, 13
Walking, 1576055564.158, 430360698229331.4, -84020515323393.9, 13
Walking, 1576055572.5579998, 430423400086618.7, -84001315243939.64, 13
Walking, 1576055585.0210001, 430492418386618.6, -84001315243939.64, 13
Walking, 1576055604.089, 430492606734371.1, -84002808189317.56, 13
Walking, 1576055615.012, 430492637080355.9, -84006694797545.27, 13
Walking, 1576055625.1420002, 430492439921738.4, -84006413815594.72, 13
Walking, 1576055645.002, 430493132709621.9, -84010224708962.55, 13
Walking, 1576055664.069, 430492924095488.7, -84011482658855.38, 13
Walking, 1576055675.0170002, 430492764685020.56, -84010492650590.36, 13
Walking, 1576055694.059, 430491219093369.25, -84010861303231.92, 13
Walking, 1576055705.0070002, 430491109301352.56, -84013203074475.47, 13
Walking, 1576055715.1120002, 430491570501352.56, -84013203074475.47, 13
Walking, 1576055734.123, 430499101741038.06, -84017845810969.31, 13
